t, ax, ay, az, da
165, 32764, 3526, 17402, 53633.5
166, 32078, 3629, 17350, 53374.5
167, 31277, 3623, 17295, 52626.0
168, 30272, 3464, 17261, 51596.0
169, 29347, 3387, 17252, 50491.5
170, 28676, 3288, 17261, 49605.5
171, 27618, 2918, 17223, 48492.0
172, 26192, 2552, 17146, 46824.5
173, 25080, 2274, 17114, 45179.0
174, 24080, 1928, 17120, 43798.0
175, 22774, 1586, 17105, 42296.5
176, 21382, 1262, 17071, 40590.0
177, 20024, 949, 17045, 38866.5
178, 18615, 650, 17017, 37150.0
179, 17226, 650, 17017, 35587.5
180, 15774, 286, 16940, 33946.5
181, 15774, 286, 16940, 33000.0
182, 12662, -50, 16797, 31204.5
183, 12662, -50, 16797, 29409.0
184, 9849, -262, 16725, 27860.5
185, 9849, -262, 16725, 26312.0
186, 6816, -428, 16603, 24651.5
187, 6816, -428, 16603, 22991.0
188, 3773, -588, 16540, 21358.0
189, 3773, -588, 16540, 19725.0
190, 2277, -592, 16482, 18946.0
191, 799, -632, 16439, 17386.5
192, -717, -647, 16405, 15823.5
193, -2201, -630, 16363, 14286.5
194, -3612, -664, 16298, 12777.0
195, -5021, -688, 16233, 11273.0
196, -6489, -681, 16190, 9772.0
197, -9251, -665, 16144, 7624.0
198, -9251, -665, 16144, 6228.0
199, -12280, -711, 16004, 4620.5
200, -12280, -711, 16004, 3013.0
201, -13467, -616, 15985, 2457.5
202, -14610, -561, 15982, 1356.5
203, -16120, -612, 15906, -7.5
204, -17616, -654, 15790, -1653.0
205, -18808, -672, 15731, -3114.5
206, -20024, -726, 15710, -4394.5
207, -21310, -787, 15664, -5736.5
208, -22434, -818, 15606, -7039.5
209, -23633, -856, 15574, -8280.5
210, -25025, -899, 15570, -9634.5
211, -26157, -942, 15587, -10933.0
212, -26983, -1016, 15600, -11955.5
213, -27971, -1128, 15570, -12964.0
214, -29061, -1218, 15529, -14139.5
215, -29795, -1235, 15538, -15121.0
216, -30335, -1262, 15564, -15762.5
217, -31092, -1318, 15530, -16456.5
218, -31915, -1316, 15483, -17314.0
219, -32476, -1272, 15492, -18002.0
220, -32764, -1274, 15506, -18394.0
221, -32764, -1308, 15462, -18571.0
222, -32764, -1362, 15400, -18668.0
223, -32764, -1430, 15392, -18764.0
224, -32764, -1430, 15392, -18802.0
225, -32764, -1452, 15486, -18766.0
226, -32764, -1452, 15486, -18730.0
227, -32764, -1331, 15535, -18645.0
228, -32764, -1331, 15535, -18560.0
229, -32764, -1306, 15589, -18520.5
230, -32697, -1278, 15612, -18422.0
231, -32312, -1226, 15603, -18149.0
232, -31870, -1186, 15606, -17692.5
233, -31022, -1160, 15682, -16975.0
234, -30131, -1092, 15762, -15980.5
235, -30131, -1092, 15762, -15461.0
236, -28842, -976, 15744, -14767.5
237, -28842, -976, 15744, -14074.0
238, -26782, -758, 15886, -12864.0
239, -26782, -758, 15886, -11654.0
240, -24319, -570, 15976, -10283.5
241, -24319, -570, 15976, -8913.0
242, -22452, -384, 15988, -7880.5
243, -22452, -384, 15988, -6848.0
244, -19922, -260, 15939, -5545.5
245, -19922, -260, 15939, -4243.0
246, -17924, -148, 16034, -3140.5
247, -16336, -71, 16111, -1167.0
248, -15312, -60, 16128, 230.0
249, -14330, -87, 16082, 1210.5
250, -12871, -118, 16085, 2380.5
251, -10926, -27, 16194, 4168.5
252, -8997, 134, 16318, 6348.0
253, -7391, 68, 16404, 8268.0
254, -5823, -123, 16462, 9798.5
255, -4128, -212, 16507, 11341.5
256, -2512, -284, 16562, 12966.5
257, -1057, -411, 16614, 14456.0
258, 345, -555, 16632, 15784.0
259, 1818, -632, 16647, 17127.5
260, 3448, -621, 16710, 18685.0
261, 5123, -633, 16786, 20406.5
262, 6582, -729, 16818, 21973.5
263, 7922, -825, 16832, 23300.0
264, 9528, -832, 16879, 24752.0
265, 11276, -832, 16938, 26478.5
266, 12728, -904, 16962, 28084.0
267, 13960, -950, 16966, 29381.0
268, 15374, -899, 16981, 30716.0
269, 16965, -838, 17037, 32310.0
270, 18310, -828, 17108, 33877.0
271, 19408, -833, 17129, 35147.0
272, 20699, -818, 17124, 36354.5
273, 22072, -762, 17156, 37735.5
274, 23138, -742, 17210, 39036.0
275, 24194, -728, 17262, 40167.0
276, 25420, -678, 17317, 41393.5
277, 26296, -695, 17348, 42504.0
278, 26296, -695, 17348, 42949.0
279, 27934, -519, 17408, 43886.0
280, 27934, -519, 17408, 44823.0
281, 29435, -450, 17486, 45647.0
282, 29435, -450, 17486, 46471.0
283, 30700, -297, 17492, 47183.0
284, 30700, -297, 17492, 47895.0
285, 31648, -124, 17492, 48455.5
286, 31648, -124, 17492, 49016.0
287, 32764, 172, 17536, 49744.0
288, 32764, 172, 17536, 50472.0
289, 32764, 352, 17520, 50554.0
290, 32764, 554, 17480, 50717.0
291, 32764, 884, 17472, 50959.0
292, 32764, 1222, 17487, 51296.5
293, 32764, 1620, 17512, 51684.5
294, 32764, 2064, 17512, 52118.0
295, 32764, 2398, 17481, 52491.5
296, 32764, 3032, 17410, 52924.5
297, 32764, 3032, 17410, 53206.0
298, 32764, 3382, 17448, 53400.0
299, 32764, 3382, 17448, 53594.0
300, 32273, 3493, 17438, 53399.0
301, 31289, 3503, 17369, 52682.5
302, 30324, 3356, 17292, 51566.5
303, 29359, 3154, 17229, 50357.0
304, 28572, 3059, 17210, 49291.5
305, 27762, 2860, 17228, 48345.5
306, 26471, 2459, 17200, 46990.0
307, 25148, 2106, 17142, 45263.0
308, 24181, 1848, 17113, 43769.0
309, 23077, 1538, 17081, 42419.0
310, 21609, 1206, 17043, 40777.0
311, 20155, 948, 17016, 38988.5
312, 18844, 707, 16973, 37321.5
313, 17468, 482, 16921, 35697.5
314, 15973, 330, 16884, 34029.0
315, 14466, 184, 16854, 32345.5
316, 13014, 10, 16813, 30670.5
317, 11532, -151, 16742, 28980.0
318, 9955, -278, 16659, 27229.5
319, 8448, -344, 16609, 25524.5
320, 7058, -386, 16592, 23988.5
321, 7058, -386, 16592, 23264.0
322, 3968, -427, 16569, 21687.0
323, 3968, -427, 16569, 20110.0
324, 1004, -534, 16501, 18540.5
325, 1004, -534, 16501, 16971.0
326, -2060, -570, 16347, 15344.0
327, -2060, -570, 16347, 13717.0
328, -4716, -560, 16280, 12360.5
329, -6212, -589, 16263, 10233.0
330, -7670, -568, 16216, 8720.0
331, -9101, -541, 16126, 7231.0
332, -9101, -541, 16126, 6484.0
333, -12012, -610, 15949, 4905.5
334, -12012, -610, 15949, 3327.0
335, -14560, -558, 15910, 2059.5
336, -14560, -558, 15910, 792.0
337, -17426, -632, 15820, -723.0
338, -17426, -632, 15820, -2238.0
339, -19980, -673, 15754, -3568.5
340, -19980, -673, 15754, -4899.0
341, -22335, -801, 15641, -6197.0
342, -22335, -801, 15641, -7495.0
343, -23465, -859, 15662, -8078.5
344, -24904, -958, 15672, -9426.0
345, -26148, -1033, 15644, -10863.5
346, -26916, -1076, 15618, -11955.5
347, -27810, -1117, 15605, -12848.0
348, -28940, -1220, 15592, -13945.0
349, -29671, -1258, 15602, -14947.5
350, -30234, -1238, 15602, -15598.5
351, -31202, -1306, 15540, -16419.0
352, -32016, -1331, 15502, -17406.5
353, -32279, -1330, 15528, -17963.0
354, -32629, -1394, 15526, -18289.0
355, -32764, -1397, 15471, -18593.5
356, -32764, -1380, 15424, -18705.0
357, -32764, -1423, 15424, -18741.5
358, -32764, -1437, 15426, -18769.0
359, -32764, -1444, 15414, -18784.5
360, -32764, -1461, 15449, -18785.0
361, -32764, -1410, 15488, -18731.0
362, -32764, -1365, 15490, -18662.5
363, -32764, -1378, 15503, -18639.0
364, -32764, -1354, 15527, -18615.0
365, -32527, -1286, 15575, -18414.5
366, -31881, -1178, 15662, -17817.5
367, -31036, -1106, 15731, -16904.0
368, -30235, -1112, 15753, -16002.5
369, -29536, -1070, 15761, -15219.5
370, -28909, -997, 15770, -14490.5
371, -28122, -907, 15808, -13678.5
372, -27038, -765, 15879, -12572.5
373, -25849, -683, 15926, -11265.0
374, -24566, -611, 15966, -9908.5
375, -23336, -611, 15966, -8596.0
376, -22583, -420, 16026, -7479.0
377, -22583, -420, 16026, -6977.0
378, -20248, -178, 15912, -5745.5
379, -20248, -178, 15912, -4514.0
380, -16706, -23, 16155, -2544.0
381, -16706, -23, 16155, -574.0
382, -14500, -110, 16138, 477.0
383, -14500, -110, 16138, 1528.0
384, -10795, 62, 16230, 3512.5
385, -10795, 62, 16230, 5497.0
386, -9112, 169, 16287, 6420.5
387, -7662, 27, 16316, 8012.5
388, -6055, -93, 16383, 9458.0
389, -4352, -135, 16496, 11122.0
390, -2786, -216, 16593, 12800.0
391, -1380, -340, 16629, 14250.0
392, 26, -513, 16622, 15522.0
393, 1652, -583, 16660, 16932.0
394, 3446, -606, 16778, 18673.5
395, 6330, -778, 16827, 20998.5
396, 6330, -778, 16827, 22379.0
397, 7760, -830, 16826, 23067.5
398, 9404, -853, 16880, 24593.5
399, 11025, -840, 16920, 26268.0
400, 12486, -879, 16928, 27820.0
401, 13780, -935, 16925, 29152.5
402, 15168, -917, 16937, 30479.0
403, 16766, -868, 16979, 32032.5
404, 18127, -871, 17032, 33582.5
405, 19223, -887, 17060, 34842.0
406, 20556, -834, 17098, 36108.0
407, 21938, -773, 17185, 37585.0
408, 22984, -766, 17268, 38918.0
409, 24011, -726, 17307, 40039.0
410, 25219, -640, 17359, 41265.0
411, 26144, -625, 17414, 42435.5
412, 26754, -659, 17397, 43212.5
413, 27734, -618, 17370, 43989.0
414, 28887, -526, 17409, 45128.0
415, 29485, -474, 17445, 46113.0
416, 29965, -400, 17448, 46734.5
417, 30800, -289, 17458, 47491.0
418, 31334, -240, 17442, 48252.5
419, 31474, -193, 17397, 48607.0
420, 31474, -193, 17397, 48678.0
421, 32763, 64, 17486, 49495.5
422, 32763, 64, 17486, 50313.0
423, 32764, 477, 17498, 50526.0
424, 32764, 477, 17498, 50739.0
425, 32764, 1102, 17531, 51068.0
426, 32764, 1102, 17531, 51397.0
427, 32764, 1776, 17429, 51683.0
428, 32764, 2135, 17453, 52160.5
429, 32764, 2472, 17484, 52536.0
430, 32764, 2847, 17492, 52911.5
431, 32764, 2847, 17492, 53103.0
432, 32764, 3342, 17482, 53345.5
433, 32764, 3342, 17482, 53588.0
434, 31369, 3556, 17387, 52950.0
435, 31369, 3556, 17387, 52312.0
436, 29693, 3337, 17285, 51313.5
437, 29693, 3337, 17285, 50315.0
438, 27908, 3000, 17234, 49228.5
439, 27908, 3000, 17234, 48142.0
440, 26718, 2673, 17186, 47359.5
441, 25413, 2310, 17113, 45706.5
442, 24320, 2011, 17080, 44123.5
443, 23186, 1690, 17067, 42677.0
444, 21859, 1367, 17049, 41109.0
445, 20484, 1093, 17021, 39436.5
446, 19105, 783, 16963, 37724.5
447, 17708, 534, 16915, 36004.0
448, 16246, 400, 16899, 34351.0
449, 14654, 247, 16864, 32655.0
450, 13118, 86, 16804, 30886.5
451, 11696, -41, 16748, 29205.5
452, 10160, -160, 16709, 27556.0
453, 8652, -246, 16696, 25905.5
454, 7333, -356, 16677, 24378.0
455, 5890, -480, 16622, 22843.0
456, 4234, -526, 16544, 21142.0
457, 2663, -562, 16492, 19422.5
458, 1223, -618, 16480, 17839.0
459, -302, -638, 16448, 16296.5
460, -1899, -646, 16380, 14671.5
461, -3349, -654, 16331, 13081.5
462, -4659, -668, 16314, 11657.5
463, -6042, -699, 16274, 10260.0
464, -7534, -680, 16199, 8759.0
465, -8944, -658, 16137, 7260.0
466, -10312, -714, 16091, 5800.0
467, -11798, -754, 16037, 4275.0
468, -13204, -714, 15977, 2772.0
469, -14427, -645, 15928, 1457.5
470, -15764, -598, 15896, 195.0
471, -17218, -625, 15860, -1224.5
472, -18511, -690, 15821, -2681.5
473, -19770, -739, 15784, -4052.5
474, -19770, -739, 15784, -4725.0
475, -22098, -795, 15751, -5933.5
476, -22098, -795, 15751, -7142.0
477, -24571, -938, 15666, -8492.5
478, -24571, -938, 15666, -9843.0
479, -26716, -1015, 15576, -10999.0
480, -26716, -1015, 15576, -12155.0
481, -28760, -1153, 15563, -13252.5
482, -28760, -1153, 15563, -14350.0
483, -30102, -1188, 15477, -15081.5
484, -30102, -1188, 15477, -15813.0
485, -30955, -1277, 15458, -16293.5
486, -31838, -1294, 15421, -17242.5
487, -32180, -1279, 15410, -17880.0
488, -32496, -1287, 15424, -18204.0
489, -32764, -1320, 15426, -18508.5
490, -32764, -1359, 15446, -18667.5
491, -32764, -1358, 15484, -18657.5
492, -32764, -1375, 15490, -18643.5
493, -32764, -1408, 15502, -18659.5
494, -32764, -1376, 15574, -18618.0
495, -32764, -1338, 15634, -18517.0
496, -32764, -1336, 15624, -18472.0
497, -32764, -1316, 15594, -18481.0
498, -32764, -1312, 15594, -18484.0
499, -32525, -1261, 15616, -18326.0
500, -31992, -1181, 15644, -17849.5
501, -31242, -1207, 15684, -17147.0
502, -30382, -1180, 15739, -16294.0
503, -29643, -1063, 15790, -15369.5
504, -29053, -1000, 15796, -14586.5
505, -28320, -933, 15764, -13873.0
506, -27258, -824, 15753, -12909.0
507, -26019, -694, 15800, -11621.0
508, -24650, -551, 15892, -10111.0
509, -23400, -449, 15968, -8595.0
510, -22716, -436, 15946, -7543.5
511, -22126, -402, 15850, -6942.0
512, -20649, -288, 15866, -5874.5
513, -18462, -165, 16045, -3826.5
514, -16743, -87, 16196, -1608.0
515, -15794, -108, 16214, -161.0
516, -14743, -160, 16180, 794.5
517, -14743, -160, 16180, 1277.0
518, -11199, -52, 16298, 3162.0
519, -11199, -52, 16298, 5047.0
520, -7869, 58, 16415, 6825.5
521, -7869, 58, 16415, 8604.0
522, -4637, -167, 16548, 10174.0
523, -4637, -167, 16548, 11744.0
524, -1669, -359, 16611, 13163.5
525, -1669, -359, 16611, 14583.0
526, 1462, -498, 16646, 16096.5
527, 3154, -566, 16697, 18447.5
528, 3154, -566, 16697, 19285.0
529, 6095, -759, 16757, 20689.0
530, 6095, -759, 16757, 22093.0
531, 9155, -778, 16882, 23676.0
532, 9155, -778, 16882, 25259.0
533, 12298, -827, 17002, 26866.0
534, 12298, -827, 17002, 28473.0
535, 14828, -948, 17019, 29686.0
536, 14828, -948, 17019, 30899.0
537, 17983, -838, 17121, 32582.5
538, 17983, -838, 17121, 34266.0
539, 19132, -896, 17146, 34824.0
540, 20401, -876, 17172, 36039.5
541, 21789, -844, 17228, 37435.0
542, 22897, -806, 17283, 38773.5
543, 23925, -724, 17311, 39943.0
