t, ax, ay, az, da
722, 6338, -476, 16572, 23978.0
723, 6338, -476, 16572, 22434.0
724, 4762, -511, 16547, 21616.0
725, 1610, -550, 16425, 19141.5
726, 1610, -550, 16425, 17485.0
727, -1386, -596, 16357, 15930.0
728, -1386, -596, 16357, 14375.0
729, -4157, -582, 16224, 12930.0
730, -4157, -582, 16224, 11485.0
731, -7065, -596, 16154, 9989.0
732, -7065, -596, 16154, 8493.0
733, -9954, -572, 16133, 7050.0
734, -9954, -572, 16069, 5575.0
735, -11395, -635, 15996, 4754.5
736, -12738, -584, 15957, 3300.5
737, -13989, -538, 15946, 2027.0
738, -15340, -603, 15922, 699.0
739, -16725, -629, 15881, -747.0
740, -18025, -650, 15839, -2154.5
741, -19376, -702, 15792, -3561.0
742, -20744, -744, 15745, -5014.5
743, -21844, -796, 15710, -6336.5
744, -22847, -828, 15684, -7460.5
745, -24180, -900, 15660, -8705.5
746, -25613, -1004, 15629, -10204.0
747, -26577, -1032, 15603, -11497.0
748, -27376, -1092, 15578, -12448.0
749, -28551, -1200, 15520, -13560.5
750, -29519, -1218, 15488, -14740.0
751, -29934, -1229, 15527, -15442.5
752, -30560, -1296, 15538, -15977.0
753, -31538, -1347, 15484, -16859.5
754, -32176, -1360, 15457, -17740.0
755, -32531, -1353, 15470, -18246.5
756, -32531, -1353, 15470, -18414.0
757, -32764, -1364, 15404, -18569.0
758, -32764, -1384, 15420, -18726.0
759, -32764, -1399, 15471, -18710.0
760, -32764, -1380, 15498, -18669.0
761, -32764, -1392, 15520, -18641.0
762, -32764, -1414, 15549, -18632.5
763, -32764, -1398, 15568, -18611.5
764, -32764, -1371, 15586, -18571.5
765, -32764, -1338, 15604, -18523.5
766, -32538, -1297, 15606, -18363.5
767, -32538, -1297, 15606, -18229.0
768, -31458, -1173, 15689, -17585.5
769, -31458, -1173, 15689, -16942.0
770, -29982, -1131, 15747, -16154.0
771, -29982, -1131, 15747, -15366.0
772, -28403, -897, 15785, -14440.5
773, -28403, -897, 15785, -13515.0
774, -26274, -715, 15897, -12303.5
775, -26274, -715, 15897, -11092.0
776, -23786, -530, 15981, -9713.5
777, -23786, -530, 15981, -8335.0
778, -22888, -431, 16006, -7824.0
779, -22273, -364, 15969, -6990.5
780, -21032, -266, 15952, -6007.0
781, -18983, -125, 16044, -4205.0
782, -17184, -52, 16144, -2078.0
783, -16149, -50, 16168, -561.5
784, -15078, 1, 16163, 527.5
785, -13438, 0, 16185, 1916.5
786, -11662, 18, 16228, 3665.5
787, -10056, 158, 16284, 5485.0
788, -8421, 141, 16359, 7232.5
789, -6721, -20, 16441, 8889.5
790, -5092, -124, 16508, 10496.0
791, -3519, -224, 16558, 12053.5
792, -2037, -336, 16592, 13517.0
793, -667, -455, 16598, 14847.5
794, 848, -555, 16610, 16189.5
795, 2593, -617, 16674, 17776.5
796, 4259, -680, 16745, 19487.0
797, 5759, -730, 16789, 21071.0
798, 7210, -794, 16836, 22535.0
799, 8678, -840, 16890, 23990.0
800, 10259, -823, 16940, 25552.0
801, 11823, -860, 16978, 27158.5
802, 13164, -940, 16997, 28581.0
803, 14476, -950, 17024, 29885.5
804, 16044, -931, 17063, 31363.0
805, 17591, -928, 17110, 32974.5
806, 18790, -937, 17146, 34386.0
807, 20014, -910, 17173, 35638.0
808, 21453, -843, 17224, 37055.5
809, 22634, -805, 17276, 38469.5
810, 22634, -805, 17276, 39105.0
811, 24627, -706, 17294, 40160.0
812, 24627, -706, 17294, 41215.0
813, 26478, -663, 17292, 42161.0
814, 26478, -663, 17292, 43107.0
815, 28416, -527, 17328, 44162.0
816, 28416, -527, 17328, 45217.0
817, 29710, -441, 17426, 45956.0
818, 29710, -441, 17426, 46695.0
819, 31147, -199, 17449, 47546.0
820, 31147, -199, 17449, 48397.0
821, 31498, -123, 17461, 48616.5
822, 31737, -47, 17438, 48982.0
823, 32437, 75, 17482, 49561.0
824, 32764, 386, 17536, 50340.0
825, 32764, 386, 17536, 50686.0
826, 32764, 929, 17489, 50934.0
827, 32764, 929, 17489, 51182.0
828, 32764, 1640, 17449, 51517.5
829, 32764, 1640, 17449, 51853.0
830, 32764, 2416, 17492, 52262.5
831, 32764, 2416, 17492, 52672.0
832, 32764, 2774, 17476, 52843.0
833, 32764, 3107, 17456, 53170.5
834, 32764, 3353, 17466, 53455.0
835, 32534, 3513, 17432, 53531.0
836, 31709, 3606, 17370, 53082.0
837, 31043, 3582, 17338, 52324.0
838, 30176, 3416, 17293, 51424.0
839, 29107, 3284, 17225, 50250.5
840, 28230, 3132, 17190, 49084.0
841, 27178, 2765, 17158, 47826.5
842, 25909, 2390, 17119, 46259.5
843, 24793, 2118, 17109, 44719.0
844, 23619, 1801, 17090, 43265.0
845, 22320, 1455, 17046, 41665.5
846, 21062, 1132, 17020, 40017.5
847, 19694, 829, 16996, 38366.5
848, 18259, 582, 16948, 36654.0
849, 16931, 396, 16912, 35014.0
850, 15467, 236, 16878, 33410.0
851, 13822, 56, 16820, 31639.5
852, 12360, -108, 16757, 29853.5
853, 10963, -197, 16690, 28232.5
854, 9368, -286, 16617, 26577.5
855, 9368, -286, 16617, 25699.0
856, 6492, -473, 16592, 24155.0
857, 4959, -578, 16563, 21777.5
858, 3341, -616, 16491, 20080.0
859, 1893, -636, 16440, 18456.5
860, 438, -664, 16420, 16945.5
861, -1132, -684, 16394, 15386.0
862, -2630, -711, 16343, 13790.0
863, -4040, -710, 16294, 12273.0
864, -5453, -710, 16282, 10831.5
865, -6892, -712, 16260, 9387.5
866, -6892, -712, 16260, 8656.0
867, -9724, -670, 16093, 7177.5
868, -9724, -670, 16093, 5699.0
869, -12631, -724, 15964, 4154.0
870, -12631, -724, 15964, 2609.0
871, -15146, -658, 15928, 1366.5
872, -15146, -658, 15928, 124.0
873, -17970, -704, 15815, -1367.5
874, -17970, -704, 15815, -2859.0
875, -20598, -708, 15761, -4202.0
876, -20598, -704, 15741, -5553.0
877, -21758, -724, 15727, -6158.0
878, -22761, -755, 15716, -7277.5
879, -24001, -798, 15694, -8452.5
880, -25428, -878, 15633, -9889.0
881, -26444, -923, 15576, -11232.0
882, -27144, -964, 15560, -12169.5
883, -28172, -1094, 15534, -13140.0
884, -29230, -1146, 15509, -14299.5
885, -29958, -1107, 15514, -15209.0
886, -30744, -1154, 15499, -15975.0
887, -31535, -1201, 15481, -16827.0
888, -32028, -1214, 15498, -17499.5
889, -32359, -1262, 15533, -17916.0
890, -32764, -1291, 15550, -18296.5
891, -32764, -1341, 15518, -18546.0
892, -32764, -1392, 15492, -18625.5
893, -32764, -1355, 15514, -18634.5
894, -32764, -1327, 15521, -18587.5
895, -32764, -1328, 15523, -18569.5
896, -32764, -1297, 15544, -18543.0
897, -32764, -1274, 15545, -18505.0
898, -32764, -1263, 15536, -18492.0
899, -32764, -1254, 15544, -18482.5
900, -32584, -1246, 15550, -18377.0
901, -32409, -1220, 15550, -18179.5
902, -31787, -1198, 15598, -17733.0
903, -30782, -1160, 15689, -16820.0
904, -29910, -1074, 15759, -15739.0
905, -29266, -1015, 15778, -14864.0
906, -28562, -977, 15781, -14130.5
907, -27628, -876, 15811, -13225.5
908, -26593, -787, 15842, -12115.5
909, -26593, -787, 15842, -11538.0
910, -23988, -586, 15922, -10095.0
911, -23988, -586, 15922, -8652.0
912, -22190, -451, 15984, -7654.5
913, -22190, -451, 15984, -6657.0
914, -19553, -212, 15944, -5239.0
915, -19553, -212, 15944, -3821.0
916, -16240, -47, 16157, -1975.5
917, -16240, -47, 16157, -130.0
918, -13928, -166, 16140, 958.0
919, -13928, -166, 16140, 2046.0
920, -12079, -83, 16183, 3033.5
921, -10129, 111, 16298, 5150.5
922, -8528, 149, 16383, 7142.0
923, -5421, -163, 16507, 9463.5
924, -5421, -163, 16507, 10923.0
925, -2218, -289, 16634, 12525.0
926, -2218, -289, 16634, 14127.0
927, 667, -533, 16638, 15449.5
928, 667, -533, 16638, 16772.0
929, 4018, -614, 16766, 18471.0
930, 4018, -614, 16766, 20170.0
931, 5561, -639, 16838, 20965.0
932, 6963, -719, 16860, 22432.0
933, 8387, -762, 16875, 23802.0
934, 10054, -771, 16919, 25351.0
935, 11706, -810, 16968, 27033.0
936, 13011, -870, 16976, 28490.5
937, 14234, -929, 16959, 29690.5
938, 15784, -909, 16990, 31064.5
939, 17436, -841, 17074, 32767.0
940, 18707, -855, 17124, 34322.5
941, 19824, -893, 17109, 35508.0
942, 21194, -844, 17116, 36753.0
943, 22514, -788, 17196, 38194.0
944, 23566, -779, 17295, 39502.0
945, 24660, -730, 17346, 40679.0
946, 25764, -696, 17350, 41847.0
947, 26522, -692, 17348, 42798.0
948, 27192, -607, 17364, 43563.5
949, 28235, -528, 17400, 44528.0
950, 29244, -477, 17432, 45653.0
951, 29728, -400, 17403, 46465.0
952, 30227, -334, 17361, 46992.5
953, 31040, -222, 17398, 47735.0
954, 31040, -222, 17398, 48216.0
955, 31672, -58, 17425, 48627.5
956, 32318, 76, 17471, 49452.0
957, 32764, 285, 17555, 50234.5
958, 32764, 449, 17552, 50684.5
959, 32764, 633, 17473, 50817.5
960, 32764, 916, 17435, 50992.5
961, 32764, 1269, 17480, 51314.0
962, 32764, 1650, 17528, 51727.5
963, 32764, 1650, 17528, 51942.0
964, 32764, 2297, 17526, 52264.5
965, 32764, 2297, 17526, 52587.0
966, 32764, 3003, 17457, 52905.5
967, 32764, 3003, 17457, 53224.0
968, 32603, 3373, 17432, 53316.0
969, 32603, 3373, 17432, 53408.0
970, 30881, 3482, 17347, 52559.0
971, 30881, 3482, 17347, 51710.0
972, 29243, 3222, 17276, 50725.5
973, 29243, 3222, 17276, 49741.0
974, 28408, 3092, 17254, 49247.5
975, 27414, 2832, 17236, 48118.0
976, 26154, 2471, 17193, 46650.0
977, 24984, 2158, 17155, 45057.5
978, 23859, 1878, 17142, 43588.0
979, 22479, 1570, 17098, 42013.0
980, 21080, 1265, 17023, 40257.5
981, 19878, 995, 16967, 38604.0
982, 18618, 727, 16920, 37052.5
983, 17140, 497, 16864, 35383.0
984, 15597, 350, 16830, 33639.0
985, 14086, 209, 16827, 31949.5
986, 12605, 41, 16810, 30289.0
987, 11106, -98, 16752, 28608.0
988, 9550, -228, 16666, 26874.0
989, 8089, -335, 16604, 25173.0
990, 6700, -420, 16580, 23609.0
991, 5125, -470, 16548, 22031.5
992, 3506, -478, 16484, 20357.5
993, 2125, -534, 16423, 18763.0
994, 730, -588, 16384, 17270.0
995, -872, -592, 16347, 15704.5
996, -2388, -641, 16312, 14083.0
997, -3808, -686, 16281, 12535.0
998, -5312, -694, 16245, 11013.0
999, -6768, -702, 16218, 9493.5
1000, -8147, -665, 16176, 8056.0
1001, -9571, -641, 16098, 6625.0
1002, -11053, -688, 16030, 5087.5
1003, -12449, -692, 15989, 3568.5
1004, -13684, -646, 15960, 2239.0
1005, -14961, -647, 15929, 975.5
1006, -16340, -654, 15888, -392.5
1007, -17642, -659, 15850, -1778.5
1008, -17642, -659, 15850, -2451.0
1009, -20407, -782, 15768, -3936.0
1010, -20407, -782, 15768, -5421.0
1011, -22486, -860, 15679, -6544.0
1012, -22486, -860, 15679, -7667.0
1013, -25292, -1065, 15628, -9198.0
1014, -25292, -1065, 15628, -10729.0
1015, -27014, -1147, 15573, -11658.5
1016, -27014, -1147, 15573, -12588.0
1017, -29282, -1263, 15494, -13819.5
1018, -29282, -1263, 15494, -15051.0
1019, -29814, -1232, 15522, -15287.5
1020, -30435, -1300, 15519, -15870.0
1021, -31444, -1388, 15462, -16793.0
1022, -32343, -1411, 15515, -17804.5
1023, -32343, -1411, 15515, -18239.0
1024, -32764, -1347, 15500, -18425.0
1025, -32764, -1347, 15500, -18611.0
1026, -32764, -1343, 15523, -18597.5
1027, -32764, -1343, 15523, -18584.0
1028, -32764, -1303, 15498, -18576.5
1029, -32764, -1303, 15498, -18569.0
1030, -32764, -1316, 15538, -18555.5
1031, -32764, -1300, 15582, -18512.0
1032, -32764, -1265, 15580, -18465.5
1033, -32764, -1274, 15573, -18457.0
1034, -32642, -1266, 15588, -18392.5
1035, -32375, -1236, 15580, -18175.5
1036, -31915, -1207, 15586, -17783.5
1037, -30998, -1124, 15657, -17000.5
1038, -30041, -1034, 15725, -15907.5
1039, -29393, -980, 15746, -14988.5
1040, -28738, -903, 15762, -14253.0
1041, -27760, -810, 15800, -13324.5
1042, -26726, -741, 15825, -12206.0
1043, -25690, -648, 15833, -11073.5
1044, -24283, -514, 15901, -9700.5
1045, -22890, -380, 16006, -8080.0
1046, -22171, -332, 16000, -6883.5
1047, -21468, -331, 15897, -6202.5
1048, -19833, -203, 15897, -5020.5
1049, -17806, -30, 16034, -2970.5
1050, -16365, -7, 16149, -1012.5
1051, -15338, -7, 16149, 290.5
1052, -14042, -53, 16150, 1429.5
1053, -14042, -53, 16150, 2055.0
1054, -10484, 25, 16276, 3936.0
1055, -8752, 136, 16366, 6783.5
1056, -7176, -16, 16422, 8490.0
1057, -5620, -166, 16473, 9958.5
1058, -3953, -206, 16555, 11541.5
1059, -2318, -339, 16624, 13181.5
1060, -887, -500, 16617, 14598.5
1061, 479, -571, 16596, 15867.0
1062, 479, -571, 16596, 16504.0
1063, 3777, -644, 16764, 18200.5
1064, 3777, -644, 16764, 19897.0
1065, 6644, -801, 16780, 21260.0
1066, 6644, -801, 16780, 22623.0
1067, 9844, -826, 16879, 24260.0
1068, 9844, -826, 16879, 25897.0
1069, 12907, -932, 17086, 27479.0
1070, 12907, -932, 17086, 29061.0
1071, 15442, -948, 17036, 30295.5
1072, 15442, -948, 17036, 31530.0
1073, 17100, -891, 17075, 32407.0
1074, 18391, -845, 17132, 33981.0
1075, 19534, -872, 17140, 35240.0
1076, 20949, -875, 17154, 36515.0
1077, 22258, -809, 17208, 37942.5
1078, 23271, -771, 17261, 39209.0
1079, 24433, -698, 17308, 40402.0
1080, 25600, -629, 17336, 41675.0
1081, 26272, -699, 17329, 42604.5
1082, 26931, -676, 17324, 43240.5
1083, 28116, -506, 17362, 44275.5
1084, 29125, -452, 17400, 45522.5
1085, 29526, -445, 17378, 46266.0
1086, 30099, -343, 17352, 46783.5
1087, 31019, -241, 17387, 47636.5
1088, 31509, -150, 17406, 48465.0
1089, 31693, -46, 17371, 48891.5
1090, 32253, 41, 17381, 49346.5
1091, 32764, 169, 17472, 50040.0
1092, 32764, 341, 17534, 50522.0
1093, 32764, 548, 17534, 50742.5
1094, 32764, 850, 17535, 50997.5
1095, 32764, 1195, 17522, 51315.0
1096, 32764, 1540, 17479, 51632.0
1097, 32764, 1903, 17483, 51966.5
1098, 32764, 2263, 17519, 52348.0
1099, 32764, 2616, 17494, 52710.0
1100, 32764, 2947, 17456, 53020.5
1101, 32764, 3196, 17465, 53296.0
1102, 32660, 3363, 17456, 53452.0
1103, 31890, 3482, 17386, 53118.5
1104, 31141, 3511, 17292, 52351.0
1105, 30296, 3424, 17214, 51439.0
1106, 29316, 3302, 17168, 50360.0
1107, 29316, 3302, 17168, 49786.0
1108, 27652, 2927, 17161, 48763.0
1109, 27652, 2927, 17161, 47740.0
1110, 25068, 2202, 17070, 46040.0
1111, 25068, 2202, 17070, 44340.0
1112, 22794, 1560, 17025, 42859.5
1113, 22794, 1560, 17025, 41379.0
1114, 19988, 928, 16962, 39628.5
1115, 19988, 928, 16962, 37878.0
1116, 18645, 668, 16940, 37065.5
1117, 17272, 460, 16922, 35453.5
1118, 15832, 357, 16909, 33876.0
1119, 14299, 236, 16873, 32253.0
1120, 12760, 52, 16808, 30514.0
1121, 9715, -219, 16674, 27895.0
1122, 9715, -219, 16674, 26170.0
1123, 6900, -427, 16634, 24638.5
1124, 6900, -427, 16634, 23107.0
1125, 3717, -544, 16486, 21383.0
1126, 3717, -544, 16486, 19659.0
1127, 2298, -566, 16428, 18909.5
1128, 848, -570, 16374, 17406.0
1129, -727, -607, 16306, 15812.0
1130, -2198, -646, 16268, 14198.0
1131, -3592, -675, 16251, 12704.0
1132, -5057, -705, 16236, 11229.0
1133, -6459, -692, 16235, 9779.0
1134, -7829, -657, 16216, 8407.0
1135, -9345, -648, 16162, 6949.5
1136, -10871, -651, 16109, 5378.0
1137, -12253, -634, 16045, 3872.5
1138, -13531, -608, 15961, 2490.0
1139, -14845, -605, 15893, 1132.5
1140, -16218, -622, 15862, -267.5
1141, -17416, -643, 15864, -1586.5
1142, -18607, -670, 15843, -2814.5
1143, -20136, -722, 15760, -4266.0
1144, -21514, -738, 15684, -5833.0
1145, -22420, -725, 15671, -7021.0
1146, -23506, -804, 15670, -8057.0
1147, -25022, -923, 15609, -9488.0
1148, -26230, -971, 15522, -11007.5
1149, -26895, -1035, 15490, -12059.5
1150, -26895, -1035, 15490, -12440.0
1151, -29018, -1156, 15428, -13593.0
1152, -29018, -1156, 15428, -14746.0
1153, -30415, -1216, 15434, -15471.5
1154, -31159, -1255, 15468, -16571.5
1155, -31867, -1276, 15490, -17299.5
1156, -32218, -1274, 15501, -17822.0
1157, -32626, -1334, 15521, -18215.0
1158, -32764, -1379, 15519, -18531.5
1159, -32764, -1370, 15522, -18618.0
1160, -32764, -1402, 15574, -18602.0
1161, -32764, -1402, 15574, -18592.0
1162, -32764, -1424, 15556, -18612.0
1163, -32764, -1424, 15556, -18632.0
1164, -32764, -1367, 15635, -18564.0
1165, -32764, -1367, 15635, -18496.0
1166, -32764, -1364, 15592, -18516.0
1167, -32764, -1364, 15592, -18536.0
1168, -32491, -1302, 15609, -18360.0
1169, -32491, -1302, 15609, -18184.0
1170, -30977, -1207, 15681, -17343.5
1171, -30977, -1207, 15681, -16503.0
1172, -30173, -1128, 15692, -16056.0
1173, -29384, -1073, 15721, -15172.5
1174, -28733, -1016, 15750, -14367.5
1175, -28004, -922, 15774, -13575.5
1176, -26957, -808, 15809, -12554.0
1177, -25723, -715, 15863, -11265.5
1178, -24394, -617, 15956, -9815.0
1179, -23216, -476, 16033, -8357.0
1180, -22469, -388, 16004, -7256.0
1181, -21646, -377, 15933, -6471.5
1182, -20064, -292, 15976, -5235.0
1183, -18045, -136, 16120, -3220.5
1184, -16421, -90, 16215, -1178.5
1185, -15370, -130, 16210, 207.0
1186, -14294, -128, 16190, 1239.0
1187, -12671, -124, 16238, 2605.5
1188, -10724, 10, 16317, 4523.0
1189, -9000, 170, 16362, 6567.5
1190, -7510, 42, 16386, 8225.0
1191, -5893, -116, 16444, 9676.5
1192, -4104, -158, 16531, 11352.0
1193, -2466, -277, 16575, 13050.5
1194, -1103, -422, 16564, 14435.5
1195, 301, -512, 16561, 15694.5
1196, 1922, -560, 16626, 17169.0
1197, 3570, -604, 16729, 18841.5
1198, 5083, -680, 16778, 20438.0
1199, 6522, -740, 16785, 21874.0
1200, 8036, -743, 16841, 23350.5
1201, 9674, -722, 16941, 25013.5
1202, 11307, -775, 17014, 26719.5
1203, 12681, -887, 17033, 28186.5
1204, 12681, -887, 17033, 28827.0
1205, 15188, -893, 17050, 30086.0
1206, 15188, -893, 17050, 31345.0
1207, 18352, -867, 17167, 32998.5
1208, 18352, -867, 17167, 34652.0
1209, 20710, -868, 17186, 35840.0
1210, 20710, -868, 17186, 37028.0
1211, 23202, -828, 17276, 38339.0
1212, 23202, -828, 17276, 39650.0
1213, 25436, -649, 17303, 40870.0
1214, 25436, -649, 17303, 42090.0
1215, 26271, -656, 17352, 42528.5
1216, 26888, -618, 17359, 43298.0
1217, 27874, -507, 17352, 44174.0
1218, 28925, -456, 17381, 45284.5
1219, 29508, -451, 17431, 46169.0
1220, 30829, -265, 17476, 47264.0
1221, 30829, -265, 17476, 48040.0
1222, 31572, -126, 17441, 48463.5
1223, 31572, -126, 17441, 48887.0
1224, 32764, 88, 17552, 49645.5
1225, 32764, 88, 17552, 50404.0
1226, 32764, 234, 17549, 50475.5
1227, 32764, 467, 17506, 50642.0
1228, 32764, 763, 17504, 50884.0
1229, 32764, 1090, 17520, 51202.5
1230, 32764, 1432, 17501, 51535.5
1231, 32764, 1799, 17485, 51872.5
1232, 32764, 2171, 17504, 52243.5
1233, 32764, 2528, 17498, 52614.5
1234, 32764, 2853, 17445, 52926.0
1235, 32764, 3098, 17400, 53162.0
1236, 32764, 3286, 17380, 53346.0
1237, 32019, 3438, 17348, 53117.5
1238, 31195, 3493, 17303, 52398.0
1239, 30414, 3419, 17271, 51547.5
1240, 29451, 3295, 17230, 50540.0
1241, 28621, 3189, 17197, 49491.5
1242, 27797, 2985, 17196, 48492.5
1243, 26500, 2650, 17144, 47136.0
1244, 25210, 2332, 17078, 45457.0
1245, 24264, 2068, 17103, 44027.5
1246, 23086, 1760, 17136, 42708.5
1247, 21579, 1400, 17090, 41025.5
1248, 20232, 1090, 17030, 39210.5
1249, 20232, 1090, 17030, 38352.0
1250, 17600, 556, 16936, 36722.0
1251, 17600, 556, 16936, 35092.0
1252, 14584, 265, 16884, 33412.5
1253, 13094, 63, 16820, 30855.0
1254, 11560, -97, 16745, 29092.5
1255, 10019, -177, 16696, 27373.0
1256, 8543, -243, 16663, 25750.5
1257, 7091, -320, 16614, 24174.0
1258, 5526, -320, 16614, 22602.5
1259, 3942, -446, 16500, 20908.0
1260, 3942, -446, 16500, 19996.0
1261, 1071, -513, 16443, 18498.5
1262, 1071, -513, 16443, 17001.0
1263, -1964, -628, 16347, 15378.0
1264, -1964, -628, 16347, 13755.0
1265, -4812, -694, 16330, 12289.5
1266, -4812, -694, 16330, 10824.0
1267, -7726, -692, 16226, 9316.0
1268, -7726, -692, 16226, 7808.0
1269, -9207, -677, 16187, 7055.5
1270, -10706, -678, 16149, 5534.0
1271, -12102, -718, 16072, 4008.5
1272, -13359, -750, 15977, 2560.0
1273, -14659, -776, 15921, 1177.0
1274, -16053, -793, 15896, -232.0
1275, -17318, -765, 15867, -1583.0
1276, -18544, -781, 15813, -2864.0
1277, -20052, -829, 15730, -4331.5
1278, -21441, -807, 15672, -5863.5
1279, -22341, -802, 15676, -7021.5
1280, -23364, -883, 15674, -8020.0
1281, -24753, -1010, 15623, -9356.5
1282, -25980, -1102, 15574, -10824.0
1283, -26874, -1104, 15562, -11962.0
1284, -27813, -1138, 15563, -12902.0
1285, -28922, -1208, 15523, -13997.5
1286, -29710, -1197, 15476, -15019.0
1287, -30161, -1200, 15497, -15647.5
1288, -30916, -1262, 15522, -16260.0
1289, -31863, -1296, 15490, -17162.5
1290, -32369, -1322, 15467, -17946.5
1291, -32696, -1355, 15482, -18396.5
1292, -32764, -1354, 15493, -18597.0
1293, -32764, -1346, 15504, -18615.5
1294, -32764, -1351, 15520, -18600.5
1295, -32764, -1376, 15517, -18609.0
1296, -32764, -1390, 15502, -18637.5
1297, -32764, -1350, 15504, -18631.0
1298, -32764, -1290, 15505, -18579.5
1299, -32764, -1270, 15486, -18548.5
1300, -32764, -1296, 15518, -18545.0
1301, -32711, -1274, 15607, -18460.0
1302, -32421, -1213, 15658, -18177.0
1303, -32421, -1213, 15658, -17976.0
1304, -31140, -1140, 15667, -17294.5
1305, -31140, -1140, 15667, -16613.0
1306, -29432, -1013, 15816, -15621.0
1307, -29432, -1013, 15816, -14629.0
1308, -27995, -900, 15824, -13850.0
1309, -27995, -900, 15824, -13071.0
1310, -26031, -701, 15870, -11966.5
1311, -26031, -701, 15870, -10862.0
1312, -23293, -498, 16026, -9313.5
1313, -23293, -498, 16026, -7765.0
1314, -22488, -382, 16040, -7297.5
1315, -21818, -330, 15974, -6502.0
1316, -20361, -247, 15976, -5403.0
1317, -18262, -99, 16086, -3453.5
1318, -16716, -84, 16144, -1465.5
1319, -14601, -110, 16116, 374.5
1320, -14601, -110, 16116, 1405.0
1321, -10958, -74, 16248, 3310.5
1322, -10958, -74, 16248, 5216.0
1323, -7658, 0, 16348, 6953.0
1324, -7658, 0, 16348, 8690.0
1325, -5990, -139, 16491, 9526.0
1326, -4363, -207, 16576, 11184.0
1327, -2781, -314, 16593, 12752.0
1328, -1347, -400, 16600, 14175.5
1329, 27, -472, 16632, 15520.0
1330, 1630, -555, 16701, 16981.5
1331, 3372, -606, 16767, 18654.5
1332, 4935, -684, 16782, 20283.0
1333, 6367, -763, 16781, 21709.0
1334, 7839, -774, 16827, 23138.5
1335, 9436, -798, 16900, 24715.0
1336, 11086, -854, 16945, 26357.5
1337, 12530, -897, 16972, 27891.0
1338, 13736, -930, 17010, 29210.5
1339, 15052, -900, 17040, 30504.0
1340, 16644, -851, 17040, 32012.5
1341, 18115, -877, 17038, 33554.5
1342, 19323, -888, 17096, 34903.5
1343, 20628, -832, 17198, 36262.5
1344, 21948, -811, 17270, 37700.5
1345, 22985, -816, 17277, 38926.5
1346, 22985, -816, 17277, 39446.0
1347, 25260, -612, 17307, 40700.5
1348, 25260, -612, 17307, 41955.0
1349, 26717, -627, 17341, 42693.0
1350, 26717, -627, 17341, 43431.0
1351, 28887, -450, 17394, 44631.0
1352, 29544, -427, 17474, 46211.0
1353, 30010, -376, 17494, 46859.5
1354, 30719, -295, 17476, 47514.0
1355, 31221, -212, 17446, 48177.5
1356, 31518, -103, 17426, 48648.0
1357, 31518, -103, 17426, 48841.0
1358, 32764, 170, 17519, 49647.0
1359, 32764, 170, 17519, 50453.0
1360, 32764, 494, 17496, 50603.5
1361, 32764, 494, 17496, 50754.0
1362, 32764, 1110, 17540, 51084.0
1363, 32764, 1110, 17540, 51414.0
1364, 32764, 1832, 17484, 51747.0
1365, 32764, 1832, 17484, 52080.0
1366, 32764, 2474, 17513, 52415.5
1367, 32764, 2474, 17513, 52751.0
1368, 32764, 2835, 17527, 52938.5
1369, 32764, 3128, 17526, 53272.0
1370, 32682, 3285, 17494, 53439.5
1371, 32170, 3422, 17435, 53244.0
1372, 31485, 3509, 17376, 52698.5
1373, 30548, 3419, 17312, 51824.5
1374, 29492, 3235, 17256, 50631.0
1375, 28712, 3116, 17247, 49529.0
1376, 27927, 2950, 17245, 48598.5
1377, 26667, 2600, 17180, 47284.5
1378, 25364, 2252, 17099, 45581.0
1379, 24348, 2004, 17085, 44076.0
1380, 23220, 1701, 17086, 42722.0
1381, 21790, 1366, 17033, 41098.0
1382, 20361, 1061, 16962, 39286.5
1383, 19106, 761, 16926, 37588.5
1384, 17800, 535, 16910, 36019.0
1385, 16274, 377, 16874, 34385.0
1386, 14686, 242, 16808, 32630.5
1387, 13222, 106, 16748, 30906.0
1388, 11751, -77, 16706, 29228.0
1389, 10158, -224, 16665, 27489.5
1390, 8666, -280, 16629, 25807.0
1391, 7318, -355, 16610, 24294.0
1392, 5851, -450, 16592, 22783.0
1393, 4222, -470, 16565, 21155.0
1394, 2641, -480, 16530, 19504.0
1395, 1199, -534, 16480, 17918.0
1396, -288, -583, 16407, 16340.5
1397, -1851, -618, 16344, 14705.5
1398, -3282, -645, 16299, 13123.5
1399, -4677, -672, 16230, 11626.5
1400, -6148, -699, 16172, 10103.0
1401, -7516, -681, 16162, 8645.0
1402, -7516, -681, 16162, 7965.0
1403, -10381, -650, 16056, 6495.0
1404, -10381, -650, 16056, 5025.0
1405, -13140, -674, 15858, 3534.5
1406, -13140, -674, 15858, 2044.0
1407, -15884, -678, 15852, 667.0
1408, -15884, -678, 15852, -710.0
1409, -18405, -748, 15794, -2034.5
1410, -18405, -748, 15794, -3359.0
1411, -21218, -775, 15743, -4804.5
1412, -21218, -820, 15727, -6280.5
1413, -22133, -823, 15731, -6768.0
1414, -23203, -872, 15694, -7803.0
1415, -24617, -1037, 15621, -9207.0
1416, -25735, -1116, 15593, -10645.5
1417, -26574, -1142, 15600, -11687.0
1418, -28882, -1289, 15522, -13382.5
1419, -28882, -1289, 15522, -14649.0
1420, -30122, -1292, 15519, -15272.0
1421, -30122, -1292, 15519, -15895.0
1422, -30839, -1344, 15518, -16280.0
1423, -31631, -1380, 15494, -17091.0
