ax_fft,ax_freq,ay_fft,ay_freq,az_fft,az_freq
354656.49021165515,0.0,273722.52421710803,0.0,29690229.232912153,0.0
155388.73604769574,2.0,118685.29130026215,2.0,12652023.705808584,2.0
6178.409936192821,4.0,1171.5865227716858,4.0,2119.0447448023992,4.0
5813.463260909004,6.0,1861.0418933454328,6.0,2064.0575939902324,6.0
8659.562222440813,8.0,3296.3200528203547,8.0,2181.3842378143822,8.0
8276.078744946079,10.0,3076.2693784737894,10.0,810.3717282497678,10.0
13157.967105679283,12.0,3213.2081986890885,12.0,575.4624782740938,12.0
7000.052993758158,14.0,6102.119287323254,14.0,2425.957732204877,14.0
30643.52797629723,16.0,2418.175834215624,16.0,1827.1850642267284,16.0
12978.964879400428,18.0,1721.8220188091534,18.0,2104.10533739026,18.0
26113.016052462604,20.0,3132.762371452783,20.0,4101.704191350468,20.0
15767.707845890038,22.0,2199.46982358114,22.0,2880.3063150592025,22.0
23273.300716665606,24.0,3657.340286453955,24.0,4323.341809064444,24.0
22791.13249014138,26.0,1815.9211629645022,26.0,1319.8959420072745,26.0
30142.987788374183,28.0,1678.2094946667064,28.0,412.66476536786865,28.0
32271.662666000197,30.0,1007.7787579534267,30.0,1621.3536433861548,30.0
35622.4348228407,32.0,1869.535891072374,32.0,2794.3185531524123,32.0
38945.35290362176,34.0,1206.708082544324,34.0,1737.295125073416,34.0
51322.9775318198,36.0,5975.0419770445405,36.0,924.9646035713854,36.0
47296.93963537481,38.0,4109.010025324889,38.0,4966.012694016519,38.0
66148.09384402834,40.0,3422.582233300176,40.0,611.8467227075555,40.0
52043.60189965678,42.0,2150.4556824737997,42.0,1477.7193115663647,42.0
35082.531130704556,44.0,2013.0524796745906,44.0,2292.0442746366693,44.0
305250.4986089737,46.0,12826.970011441004,46.0,10080.595463712667,46.0
15229095.260879455,48.0,556917.2659116796,48.0,456378.73662897083,48.0
29677286.635280088,50.0,1090738.2504507517,50.0,890127.6410801102,50.0
10372833.79308024,52.0,384991.5970326504,52.0,311613.9324936433,52.0
144274.0890339657,54.0,4071.7936658058766,54.0,5655.93500797785,54.0
64999.55229410509,56.0,4172.409045348812,56.0,1599.1898952319211,56.0
77167.168683874,58.0,2891.3685531718115,58.0,2841.8598369127235,58.0
78604.16930929007,60.0,4295.851289419807,60.0,1831.122002012154,60.0
66674.19923451029,62.0,2953.405308716171,62.0,1980.5672105109343,62.0
67009.06931027414,64.0,4298.973655721367,64.0,3522.1603174207567,64.0
56861.63090236458,66.0,3167.376018082165,66.0,2923.7062299109475,66.0
52499.05597252268,68.0,2623.1905742335753,68.0,2411.0999947278956,68.0
46937.40296214229,70.0,5349.067864618634,70.0,2938.7724138982708,70.0
52208.99053699205,72.0,2994.58256988549,72.0,962.28254739691,72.0
39021.31811286406,74.0,3816.7088025763082,74.0,862.8621431620943,74.0
39772.62506692288,76.0,3263.966566482438,76.0,3312.134401124639,76.0
37455.88157486979,78.0,6105.2804323941,78.0,1452.5911352947587,78.0
37176.68040606644,80.0,798.1777098062967,80.0,3671.2887504051864,80.0
35173.36209815836,82.0,2501.678754730098,82.0,514.36141012409,82.0
47986.05173069583,84.0,8116.921037306822,84.0,2874.6999780653605,84.0
99953.57131948222,86.0,7787.425392510569,86.0,5695.7348185234405,86.0
57975.900604358154,88.0,5149.22276417336,88.0,3501.59195137951,88.0
27525.753522066818,90.0,2836.949515196584,90.0,625.7828993845469,90.0
27711.443927231365,92.0,10579.119947893114,92.0,405.8985797093992,92.0
32035.784444849967,94.0,4458.964431812409,94.0,3897.7690460469444,94.0
32462.81601584287,96.0,26033.986754543086,96.0,1692.6321539235487,96.0
136189.09752838005,98.0,494130.6652014915,98.0,11938.30645517765,98.0
264310.2441664809,100.0,790847.6093980127,100.0,19076.615193805115,100.0
55939.17209903459,102.0,225733.04977164627,102.0,8730.860923614304,102.0
26409.256305871386,104.0,5970.072955809321,104.0,2587.333576913869,104.0
21181.772190565356,106.0,7187.259555468719,106.0,3609.4160095393886,106.0
23382.27118328812,108.0,1179.9660785700269,108.0,1773.1848442056973,108.0
18215.69949251169,110.0,14620.983747023862,110.0,1424.8685183067225,110.0
26002.456173187573,112.0,14286.293461537187,112.0,1285.3151807184302,112.0
23160.677522611626,114.0,3771.2141378982506,114.0,1352.5006571926747,114.0
34596.3358239734,116.0,2482.9018416925733,116.0,1043.0468441624107,116.0
20883.1544917715,118.0,7962.316463068399,118.0,2222.4090764477064,118.0
11647.597669602048,120.0,6635.18016409614,120.0,1114.796446049087,120.0
24859.852550826094,122.0,2851.771030701859,122.0,1907.64417777863,122.0
18481.800381810113,124.0,6938.791818755589,124.0,3066.19457279416,124.0
11650.487659230026,126.0,9307.744903394376,126.0,1448.8630541035263,126.0
21764.45524138924,128.0,4534.832644206747,128.0,3281.002012475083,128.0
18428.523064387413,130.0,20949.152946172206,130.0,2262.660493736021,130.0
22353.795604496656,132.0,6118.40913218034,132.0,2763.514587368389,132.0
14104.423346999203,134.0,7616.164198865334,134.0,3784.0583493095755,134.0
13725.607543324944,136.0,9384.987837137192,136.0,5062.386044567347,136.0
24410.571125678405,138.0,13027.626897343347,138.0,3409.661291296481,138.0
9944.904621697588,140.0,15533.651503805317,140.0,1642.0456268131782,140.0
24910.662403191167,142.0,4221.920428044995,142.0,2993.355850140508,142.0
5926.572544506496,144.0,10864.082177635079,144.0,1600.0422987741417,144.0
10700.31896612777,146.0,22351.35454492269,146.0,3086.7267537454063,146.0
278767.24028812855,148.0,453052.50985251047,148.0,7569.006270220045,148.0
367891.03484914673,150.0,608628.8473272158,150.0,10279.30150840877,150.0
136402.40066741462,152.0,128775.87667215416,152.0,2961.1859242482815,152.0
33003.499848938765,154.0,13602.578512370901,154.0,2055.8067654695915,154.0
11879.67766575991,156.0,1401.535421000461,156.0,2119.431875407056,156.0
17909.28245800979,158.0,7422.7544659554205,158.0,3697.5248001617765,158.0
17492.457622614325,160.0,12101.302273853147,160.0,2911.2781727123597,160.0
3056.9698378371268,162.0,13353.42376055544,162.0,991.5839520797274,162.0
14817.865888855675,164.0,1045.4162505173601,164.0,1349.4984220459066,164.0
17176.679003291767,166.0,5959.582428046632,166.0,1845.7236962315421,166.0
6561.702883698977,168.0,3469.8375977720284,168.0,1010.3880722092139,168.0
10978.248650682606,170.0,6797.09256843469,170.0,2314.8301195867507,170.0
10761.291954846978,172.0,3012.8146480936693,172.0,3749.572201950109,172.0
17525.470732572667,174.0,4817.303080745328,174.0,1407.821728172195,174.0
1462.0680907256733,176.0,811.6983913542723,176.0,841.0177044126849,176.0
12537.158083836788,178.0,2104.096338647706,178.0,1340.1585289597654,178.0
12660.78626238188,180.0,8719.38332624533,180.0,861.6615196144415,180.0
13804.152977189446,182.0,1192.639165334505,182.0,1052.9684479635305,182.0
55165.28351322234,184.0,6053.182645612042,184.0,2031.706476912409,184.0
102749.1045597813,186.0,2449.542555822386,186.0,3039.0423379339127,186.0
32091.465410387238,188.0,5156.17384704479,188.0,1984.1213046742369,188.0
7178.763722650451,190.0,6405.968520622175,190.0,1695.1166834047078,190.0
10803.870578033579,192.0,1932.0392777676004,192.0,1096.729183778711,192.0
10995.712763427042,194.0,2417.9416085106855,194.0,1356.0669456173694,194.0
24418.365501672608,196.0,21457.04572480773,196.0,1224.7983406297687,196.0
144724.41562738657,198.0,218580.18514121496,198.0,14363.881612532545,198.0
186064.22423070943,200.0,243820.9011655268,200.0,15817.091110651661,200.0
22440.773808945698,202.0,44545.01361677894,202.0,1941.0065562151703,202.0
15583.57145827387,204.0,8009.026356319783,204.0,3356.5931109379444,204.0
7364.344782476196,206.0,4678.788206682695,206.0,3192.508006875038,206.0
12608.675142393233,208.0,6585.450375892576,208.0,421.70633841093064,208.0
6786.52991193187,210.0,6089.107625643821,210.0,1163.88564777943,210.0
13332.219113056337,212.0,7636.046699895246,212.0,1980.8815562451996,212.0
9354.092097388373,214.0,423.1504469928486,214.0,3234.520049976112,214.0
11099.433149249382,216.0,4691.422564669302,216.0,1049.1054756106116,216.0
22592.404043328883,218.0,4638.5975067170575,218.0,971.5231827551971,218.0
19274.067159997205,220.0,4681.824702696277,220.0,2465.475461003935,220.0
8913.532380124561,222.0,4012.5836929518046,222.0,1748.0046735909516,222.0
17906.926998100593,224.0,3574.9480241206356,224.0,1864.7156536485504,224.0
11420.44089751566,226.0,3333.6889185271266,226.0,1964.816467397384,226.0
9445.197532844855,228.0,3330.0458454347295,228.0,3297.6875098364235,228.0
9737.522021516783,230.0,5007.5481820186815,230.0,1901.5870756716467,230.0
11112.25950780765,232.0,3500.1276341546773,232.0,1540.883252916701,232.0
7895.991653254163,234.0,1779.9131677278633,234.0,1626.9088738639155,234.0
14848.182898420677,236.0,5158.609146207242,236.0,2639.0610364023637,236.0
7846.572879646261,238.0,5048.468173874432,238.0,2106.0977497104186,238.0
8591.287100399199,240.0,6535.003926191815,240.0,563.2371119031086,240.0
12149.157486804424,242.0,285.98495838891154,242.0,865.4339002980546,242.0
5648.168987855691,244.0,5055.123033980879,244.0,411.67356599635264,244.0
23561.164863686972,246.0,31605.99457710917,246.0,1602.6678801327707,246.0
203217.8698428842,248.0,215500.10553108001,248.0,3164.0973165076207,248.0
216207.44876339025,250.0,203490.60325263554,250.0,2939.393985058951,250.0
106057.56469513963,252.0,26548.208213107566,252.0,1978.9922721231662,252.0
20572.720786483846,254.0,6422.263631208571,254.0,1170.1920986444725,254.0
7958.142635418179,256.0,1059.7737670146792,256.0,585.6059766712193,256.0
8849.64576343858,258.0,5333.834331517605,258.0,1313.6873239955723,258.0
5975.530746164183,260.0,8905.305125094446,260.0,2090.9099727308744,260.0
4354.251071910956,262.0,9717.983003296868,262.0,1716.6647234637283,262.0
10411.725467198821,264.0,2519.0969042285956,264.0,1881.2493506124679,264.0
7627.347301279527,266.0,2098.7165408602486,266.0,1385.61770890911,266.0
5705.698798844968,268.0,1686.8032835759989,268.0,216.13363423782948,268.0
7096.362227265827,270.0,3784.0103933216596,270.0,2011.4917273485255,270.0
4444.609620529852,272.0,1792.3226919728306,272.0,885.8661693662315,272.0
13998.858281731404,274.0,2762.293536036824,274.0,849.6572130174629,274.0
4682.052193049496,276.0,3992.0578532499876,276.0,1753.5145285491521,276.0
5863.388858410894,278.0,3479.51681604478,278.0,1286.2372077982402,278.0
8659.957551188738,280.0,5089.755706153196,280.0,645.7361447236615,280.0
6956.000676412611,282.0,4023.853339484382,282.0,1283.4899024163806,282.0
5629.10659626915,284.0,5193.02687952987,284.0,911.8945626241347,284.0
16429.954370044517,286.0,4544.516082899336,286.0,3423.4161522091244,286.0
37768.01686222337,288.0,4713.747062109377,288.0,3848.7801694129867,288.0
25560.848133255466,290.0,4434.170042173041,290.0,2734.197878171596,290.0
554.7775775596682,292.0,977.2554257003285,292.0,2417.391259220936,292.0
7733.965368703887,294.0,5370.6521393142675,294.0,2581.503428498122,294.0
6673.325293408294,296.0,19139.4070698247,296.0,3143.8889646977873,296.0
63938.904763467785,298.0,114236.00181753185,298.0,3373.0124781507757,298.0
42153.37389463845,300.0,89238.10491713406,300.0,2086.486055161009,300.0
11361.242436171866,302.0,4778.789919514659,302.0,1327.039930956328,302.0
2344.6316924886182,304.0,7739.230670841394,304.0,8218.13262706676,304.0
9708.197976161759,306.0,539.5560172205455,306.0,12567.33558580647,306.0
4367.799561200015,308.0,4557.1773276154345,308.0,9863.237932591317,308.0
5721.501568281083,310.0,3859.5261468347003,310.0,2807.076062127397,310.0
5510.792449998122,312.0,5893.557451529755,312.0,1008.0537519795791,312.0
5501.0517187670675,314.0,5097.173588650568,314.0,9352.783243950926,314.0
9244.047820308766,316.0,3518.206677812421,316.0,11682.657956526567,316.0
18833.924613675834,318.0,2583.0122335143496,318.0,10636.165517774969,318.0
18573.756074457047,320.0,1545.1846715898762,320.0,2704.659617431463,320.0
22260.289433517955,322.0,3804.2160505281195,322.0,3779.108158379625,322.0
15612.429159403917,324.0,4171.491421142459,324.0,3495.3856302253375,324.0
7200.34588382136,326.0,3208.8398172810194,326.0,5668.047350910049,326.0
6177.815532895797,328.0,2290.338920223132,328.0,3928.49883698397,328.0
2009.9209339663166,330.0,2827.2979114793743,330.0,4681.055806472997,330.0
7959.288478692917,332.0,3113.4133354434107,332.0,2375.0587905605666,332.0
2572.1216129889244,334.0,1920.3803560953716,334.0,869.0013976383876,334.0
8180.912401529374,336.0,1189.5585439858185,336.0,1806.3454979495245,336.0
5685.01574679458,338.0,4804.363659953414,338.0,2253.563988363167,338.0
5785.944647108215,340.0,2915.2892477025775,340.0,501.31816592337765,340.0
7602.20046129202,342.0,5328.337890189454,342.0,2116.573502926978,342.0
7178.420472438198,344.0,5004.276859554896,344.0,3070.492910654447,344.0
32201.144731236855,346.0,18062.025424350068,346.0,2089.1498545649124,346.0
108115.02164485808,348.0,72927.37814526244,348.0,13369.501810684782,348.0
77662.67771197564,350.0,46742.76442047087,350.0,9407.83143563063,350.0
9533.954691367595,352.0,4479.455403651851,352.0,2002.8645662681417,352.0
39027.2063512377,354.0,2078.7010655777403,354.0,1812.3540786716965,354.0
14395.441224107642,356.0,3415.9058065059817,356.0,2143.1577908827717,356.0
8642.437145475536,358.0,2297.0057238970794,358.0,593.4768168580738,358.0
6753.5899268054645,360.0,6554.144634257381,360.0,1071.93823500397,360.0
7710.274376733619,362.0,6177.429937738413,362.0,486.87810181508695,362.0
7409.26451601593,364.0,2070.8863452635833,364.0,947.682353946597,364.0
4089.100602923728,366.0,1410.5559456681192,366.0,1428.2953224759246,366.0
8423.570006970649,368.0,2389.813095877709,368.0,1675.6383173837623,368.0
6641.286962797654,370.0,2897.7552617736296,370.0,2368.7324693417077,370.0
9819.500019649378,372.0,1583.504877428266,372.0,2330.260607193311,372.0
1402.510982820702,374.0,3626.0297253211666,374.0,2178.6718548310896,374.0
9578.203513185961,376.0,1648.2628698226945,376.0,1110.4651525734994,376.0
4718.508080519385,378.0,1472.7604113496093,378.0,1407.974331685188,378.0
6180.867677578338,380.0,769.945564212407,380.0,2293.183244849208,380.0
2152.959855567691,382.0,2653.20730164878,382.0,2318.671597192194,382.0
10752.329557542196,384.0,1869.4398024129994,384.0,3682.7490606855017,384.0
25155.850919874712,386.0,2890.990192684234,386.0,1932.7040468566336,386.0
49100.82614570657,388.0,2511.024657238125,388.0,673.5496972015715,388.0
25323.652329277542,390.0,364.32935277447683,390.0,779.2019226717,390.0
1770.519642333632,392.0,3025.098311461655,392.0,1172.4245377823165,392.0
3131.4899369342297,394.0,3012.6187996159097,394.0,962.007290198961,394.0
7285.949363743971,396.0,12656.160272393316,396.0,757.2256749939974,396.0
49089.73640632406,398.0,43349.05296085927,398.0,5239.763846918104,398.0
21870.3486384902,400.0,22663.646483675144,400.0,4419.273163536801,400.0
6021.002199399902,402.0,1562.7846437766166,402.0,630.6141075389387,402.0
8543.006406870229,404.0,1515.3252940186887,404.0,1078.2174983941618,404.0
2986.795280553751,406.0,2710.6791405083836,406.0,1655.9269177638557,406.0
4910.935537890594,408.0,451.01801245187414,408.0,604.6961416052922,408.0
7596.2486763117895,410.0,3900.082186356221,410.0,1331.0586499442675,410.0
1770.271513075914,412.0,4792.869540534067,412.0,549.207312843977,412.0
9140.108601262033,414.0,3444.436981775356,414.0,2549.7447845811857,414.0
2204.8494911159596,416.0,2259.4741630625144,416.0,2331.2982948864596,416.0
7572.175893222478,418.0,717.9966523497967,418.0,682.339344987423,418.0
11811.455573223342,420.0,1819.3227258530337,420.0,280.9981714492588,420.0
13686.601153408234,422.0,653.048261496157,422.0,185.67444194763922,422.0
46462.00528871827,424.0,2111.2200155044593,424.0,1161.0247613857764,424.0
17918.434100066017,426.0,2506.579106109763,426.0,334.504471480993,426.0
5623.247841830185,428.0,860.1273478273806,428.0,1595.4543682269907,428.0
3900.231713735706,430.0,1921.2122415347067,430.0,898.925726202905,430.0
5573.828114705409,432.0,2089.3204622408784,432.0,539.4018603045699,432.0
11350.182861576355,434.0,1876.8674768974333,434.0,1739.8075469064202,434.0
5171.919809438167,436.0,3399.3696969859607,436.0,1280.4923987930017,436.0
6046.498926616343,438.0,3072.300171137787,438.0,2052.1250679807663,438.0
4761.153201053535,440.0,1183.6209738882653,440.0,305.57310334148093,440.0
7087.188375584075,442.0,1245.2793538822075,442.0,635.519434948385,442.0
3782.30707708317,444.0,2745.435093194316,444.0,1000.5056425985526,444.0
46706.83865740135,446.0,7264.587125260233,446.0,2365.3206694913683,446.0
134157.77737261495,448.0,18549.494481894126,448.0,5492.996828287652,448.0
57248.29419346066,450.0,5168.951966009086,450.0,2816.2433047947943,450.0
18440.645238729532,452.0,4605.12700438732,452.0,2806.1907127925524,452.0
41085.25471325299,454.0,2079.078411396535,454.0,2437.591916492403,454.0
13104.614234579214,456.0,1469.2063681628101,456.0,2034.0815907983228,456.0
10418.909395296301,458.0,1228.7407075499282,458.0,2855.241658000269,458.0
6336.0710865188175,460.0,4160.25633432297,460.0,1612.6004196323229,460.0
3383.508501126593,462.0,3784.9069963791258,462.0,3434.29433080596,462.0
3635.0996803033854,464.0,451.3241850402175,464.0,4017.925675556443,464.0
4016.4690105914337,466.0,794.0832608054163,466.0,2761.4362443321756,466.0
5330.548641573341,468.0,1561.598177004386,468.0,3415.961974459506,468.0
15292.061591834252,470.0,2859.8326903392986,470.0,3731.297788455611,470.0
6409.8866356061335,472.0,3029.7167842168424,472.0,2842.64163948353,472.0
7985.406069480114,474.0,2510.542649889483,474.0,790.2121160912948,474.0
7334.479955439738,476.0,2357.617046616577,476.0,867.3683837668731,476.0
4234.009850507514,478.0,3063.9045226560766,478.0,1091.5913772786635,478.0
