ax,ay,az
-17426,-632,15820
-17426,-632,15820
-19980,-673,15754
-19980,-673,15754
-22335,-801,15641
-22335,-801,15641
-23465,-859,15662
-24904,-958,15672
-26148,-1033,15644
-26916,-1076,15618
-27810,-1117,15605
-28940,-1220,15592
-29671,-1258,15602
-30234,-1238,15602
-31202,-1306,15540
-32016,-1331,15502
-32279,-1330,15528
-32629,-1394,15526
-32764,-1397,15471
-32764,-1380,15424
-32764,-1423,15424
-32764,-1437,15426
-32764,-1444,15414
-32764,-1461,15449
-32764,-1410,15488
-32764,-1365,15490
-32764,-1378,15503
-32764,-1354,15527
-32527,-1286,15575
-31881,-1178,15662
-31036,-1106,15731
-30235,-1112,15753
-29536,-1070,15761
-28909,-997,15770
-28122,-907,15808
-27038,-765,15879
-25849,-683,15926
-24566,-611,15966
-23336,-611,15966
-22583,-420,16026
-22583,-420,16026
-20248,-178,15912
-20248,-178,15912
-16706,-23,16155
-16706,-23,16155
-14500,-110,16138
-14500,-110,16138
-10795,62,16230
-10795,62,16230
-9112,169,16287
-7662,27,16316
-6055,-93,16383
-4352,-135,16496
-2786,-216,16593
-1380,-340,16629
26,-513,16622
1652,-583,16660
3446,-606,16778
6330,-778,16827
6330,-778,16827
7760,-830,16826
9404,-853,16880
11025,-840,16920
12486,-879,16928
13780,-935,16925
15168,-917,16937
16766,-868,16979
18127,-871,17032
19223,-887,17060
20556,-834,17098
21938,-773,17185
22984,-766,17268
24011,-726,17307
25219,-640,17359
26144,-625,17414
26754,-659,17397
27734,-618,17370
28887,-526,17409
29485,-474,17445
29965,-400,17448
30800,-289,17458
31334,-240,17442
31474,-193,17397
31474,-193,17397
32763,64,17486
32763,64,17486
32764,477,17498
32764,477,17498
32764,1102,17531
32764,1102,17531
32764,1776,17429
32764,2135,17453
32764,2472,17484
32764,2847,17492
32764,2847,17492
32764,3342,17482
32764,3342,17482
31369,3556,17387
31369,3556,17387
29693,3337,17285
29693,3337,17285
27908,3000,17234
27908,3000,17234
26718,2673,17186
25413,2310,17113
24320,2011,17080
23186,1690,17067
21859,1367,17049
20484,1093,17021
19105,783,16963
17708,534,16915
16246,400,16899
14654,247,16864
13118,86,16804
11696,-41,16748
10160,-160,16709
8652,-246,16696
7333,-356,16677
5890,-480,16622
4234,-526,16544
2663,-562,16492
1223,-618,16480
-302,-638,16448
-1899,-646,16380
-3349,-654,16331
-4659,-668,16314
-6042,-699,16274
-7534,-680,16199
-8944,-658,16137
-10312,-714,16091
-11798,-754,16037
-13204,-714,15977
-14427,-645,15928
-15764,-598,15896
-17218,-625,15860
-18511,-690,15821
-19770,-739,15784
-19770,-739,15784
-22098,-795,15751
-22098,-795,15751
-24571,-938,15666
-24571,-938,15666
-26716,-1015,15576
-26716,-1015,15576
-28760,-1153,15563
-28760,-1153,15563
-30102,-1188,15477
-30102,-1188,15477
-30955,-1277,15458
-31838,-1294,15421
-32180,-1279,15410
-32496,-1287,15424
-32764,-1320,15426
-32764,-1359,15446
-32764,-1358,15484
-32764,-1375,15490
-32764,-1408,15502
-32764,-1376,15574
-32764,-1338,15634
-32764,-1336,15624
-32764,-1316,15594
-32764,-1312,15594
-32525,-1261,15616
-31992,-1181,15644
-31242,-1207,15684
-30382,-1180,15739
-29643,-1063,15790
-29053,-1000,15796
-28320,-933,15764
-27258,-824,15753
-26019,-694,15800
-24650,-551,15892
-23400,-449,15968
-22716,-436,15946
-22126,-402,15850
-20649,-288,15866
-18462,-165,16045
-16743,-87,16196
-15794,-108,16214
-14743,-160,16180
-14743,-160,16180
-11199,-52,16298
-11199,-52,16298
-7869,58,16415
-7869,58,16415
-4637,-167,16548
-4637,-167,16548
-1669,-359,16611
-1669,-359,16611
1462,-498,16646
3154,-566,16697
3154,-566,16697
6095,-759,16757
6095,-759,16757
9155,-778,16882
9155,-778,16882
12298,-827,17002
12298,-827,17002
14828,-948,17019
14828,-948,17019
17983,-838,17121
17983,-838,17121
19132,-896,17146
20401,-876,17172
21789,-844,17228
22897,-806,17283
23925,-724,17311
25130,-630,17325
26132,-599,17321
26766,-617,17293
27609,-569,17298
28767,-468,17371
29508,-425,17421
