time,fps
1,154
2,405
3,405
4,62
5,62
6,595
7,398
8,398
9,840
10,434
11,434
12,568
13,473
14,356
15,500
16,303
17,383
18,383
19,50
20,50
21,69
22,69
23,528
24,364
25,594
26,594
27,286
28,216
29,373
30,499
31,510
32,288
33,296
34,274
35,376
36,194
37,349
38,151
39,225
40,289
41,284
42,536
43,339
44,353
45,239
46,522
47,522
48,564
49,479
50,400
51,400
52,600
53,599
54,599
55,371
56,301
57,301
58,729
59,566
60,557
61,557
